compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
BH-BH,young-stellar-clusters,Ziosi_2014_starlab,Ziosi et al. (2014),"{Ziosi}, Brunetto Marco",2014,7,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.3703Z/abstract,https://arxiv.org/abs/1404.7147,starlab,upper_limit,3.5,upper,,upper limit
BH-BH,young-stellar-clusters,Mapelli_2016_starlab,Mapelli et al. (2016),"{Mapelli}, Michela}",2016,7,https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.3432M/abstract,https://arxiv.org/abs/1604.03559,starlab,lower_limit,1.0,lower,,lower limit
BH-BH,young-stellar-clusters,Rastello_2019_NBODY7,Rastello et al. (2019),"Rastello, S",2019,2,https://ui.adsabs.harvard.edu/abs/2019MNRAS.483.1233R/abstract,https://arxiv.org/abs/1811.10628,NBODY7,upper_limit,2.0,upper,,upper limit
BH-BH,young-stellar-clusters,DiCarlo_2020_NBODY6,Di Carlo et al. (2020),DiCarlo,2020,10,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498..495D/abstract,https://arxiv.org/abs/2004.09525,NBODY6,upper_limit,55.0,upper,,upper limit
BH-BH,young-stellar-clusters,DiCarlo_2020_NBODY6,Di Carlo et al. (2020),DiCarlo,2020,10,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498..495D/abstract,https://arxiv.org/abs/2004.09525,NBODY6,upper_limit,110.0,upper,,upper limit
BH-BH,young-stellar-clusters,Kumamoto_2020_NBODY6,Kumamoto et al. (2020),Kumamoto,2020,7,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.4268K/abstract,https://arxiv.org/abs/2001.10690,NBODY6,range,70.0,,with metallicity dispersion,with metallicity dispersion
BH-BH,young-stellar-clusters,Kumamoto_2020_NBODY6,Kumamoto et al. (2020),Kumamoto,2020,7,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.4268K/abstract,https://arxiv.org/abs/2001.10690,NBODY6,range,35.0,,without metallicity dispersion,without metallicity dispersion
BH-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,44.0,lower,,lower
BH-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,64.0,central,,median
BH-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,98.0,upper,,upper
BH-BH,young-stellar-clusters,Banerjee_2021_NBODY7,Banerjee (2021),Banerjee,2021,5,https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.3371B/abstract,https://arxiv.org/abs/2011.07000,NBODY7,range,0.5,,,
BH-BH,young-stellar-clusters,Banerjee_2021_NBODY7,Banerjee (2021),Banerjee,2021,5,https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.3371B/abstract,https://arxiv.org/abs/2011.07000,NBODY7,range,37.9,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,13.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,9.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,3.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,10.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,9.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,0.1,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Mapelli_2021_MOBSE,Mapelli et al. (2021),"{Mapelli}, Michela",2020,7,https://ui.adsabs.harvard.edu/abs/2020arXiv200715022M/abstract,https://arxiv.org/abs/2007.15022,MOBSE,range,18.0,,,
BH-BH,young-stellar-clusters,Rastello_2021_NBODY6MOBSE,Rastello et al. (2021),"Rastello, S",2021,11,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.3612R/abstract,https://arxiv.org/pdf/2105.01669.pdf,NBODY6+MOBSE,range,62.0,lower,lower error,lower error
BH-BH,young-stellar-clusters,Rastello_2021_NBODY6MOBSE,Rastello et al. (2021),"Rastello, S",2021,11,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.3612R/abstract,https://arxiv.org/pdf/2105.01669.pdf,NBODY6+MOBSE,range,88.0,central,,median
BH-BH,young-stellar-clusters,Rastello_2021_NBODY6MOBSE,Rastello et al. (2021),"Rastello, S",2021,11,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.3612R/abstract,https://arxiv.org/pdf/2105.01669.pdf,NBODY6+MOBSE,range,122.0,upper,upper error,upper error
NS-BH,young-stellar-clusters,Ziosi_2014_starlab,Ziosi et al. (2014),"{Ziosi}, Brunetto Marco",2014,7,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.3703Z/abstract,https://arxiv.org/abs/1404.7147,starlab,upper_limit,0.1,upper,,upper limit
NS-BH,young-stellar-clusters,Fragione_2020_Nbody7,Fragione and Banerjee (2020),Fragione,2020,9,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L..16F/abstract,https://arxiv.org/pdf/2006.06702.pdf,Nbody7,upper_limit,0.003,upper,,
NS-BH,young-stellar-clusters,Fragione_2020_Nbody7,Fragione and Banerjee (2020),Fragione,2020,9,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L..16F/abstract,https://arxiv.org/pdf/2006.06702.pdf,Nbody7,upper_limit,0.03,upper,,
NS-BH,young-stellar-clusters,Rastello_2020_MOBSE,Rastello et al. (2020),"{Rastello}, Sara",2020,9,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1563R/abstract,https://arxiv.org/abs/2003.02277,MOBSE,upper_limit,28.0,upper,,upper limit
NS-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,18.0,lower,,lower
NS-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,41.0,central,,median
NS-BH,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,74.0,upper,,upper
NS-BH,young-stellar-clusters,ArcaSedda_2021_ARGdfARCHAINandMOCCA,Arca Sedda (2021),Arca Sedda,2021,2,https://ui.adsabs.harvard.edu/abs/2021ApJ...908L..38A/abstract,https://arxiv.org/pdf/2102.03364.pdf,"ARGdf, ARCHAIN and MOCCA",range,0.04,lower,,lower
NS-BH,young-stellar-clusters,ArcaSedda_2021_ARGdfARCHAINandMOCCA,Arca Sedda (2021),Arca Sedda,2021,2,https://ui.adsabs.harvard.edu/abs/2021ApJ...908L..38A/abstract,https://arxiv.org/pdf/2102.03364.pdf,"ARGdf, ARCHAIN and MOCCA",range,36.6,upper,,upper
NS-NS,young-stellar-clusters,Ziosi_2014_starlab,Ziosi et al. (2014),"{Ziosi}, Brunetto Marco",2014,7,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.3703Z/abstract,https://arxiv.org/abs/1404.7147,starlab,range,0.15,,range,range
NS-NS,young-stellar-clusters,Ziosi_2014_starlab,Ziosi et al. (2014),"{Ziosi}, Brunetto Marco",2014,7,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.3703Z/abstract,https://arxiv.org/abs/1404.7147,starlab,range,0.03,,range,range
NS-NS,young-stellar-clusters,Fragione_2020_Nbody7,Fragione and Banerjee (2020),Fragione,2020,9,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L..16F/abstract,https://arxiv.org/pdf/2006.06702.pdf,Nbody7,range,0.01,,,
NS-NS,young-stellar-clusters,Fragione_2020_Nbody7,Fragione and Banerjee (2020),Fragione,2020,9,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L..16F/abstract,https://arxiv.org/pdf/2006.06702.pdf,Nbody7,range,0.1,,,
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,113.0,lower,,lower
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,151.0,central,,median
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,210.0,upper,,upper
