compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,submodel string,notes,submodel change 1,submodel change 2,sfrd-1,sfrd-2,sfrd-3,sfrd-4,sigma_kick,sigma_stripped_SN,alpha_CE,beta_MT,gamma_AM,CE_pessimistic,CE_prescription,lambda_CE,RMP,PISN_prescription,MT_stability,Eddington_limited,f_WR,stellar_tracks,binding_energy
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,2,lower,,,lower,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,4,,rate in abstract,rate in abstract,rate in abstract,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,OShaughnessy_2010_StarTrack,O'Shaughnessy et al. (2010),"{O'Shaughnessy}, R.",2010,6,https://ui.adsabs.harvard.edu/abs/2010ApJ...716..615O/abstract,https://arxiv.org/abs/0908.3635,StarTrack,range,40,upper,,,upper,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,540.2,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,79.1,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,395.9666,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,636.3556,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,501.3056,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,559.6472,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,623.3908,,,,,,,,,,,,,,,,,,,,,,,,,
